"DealerID","NewUsed","Year","Make","Model","ExteriorColor","InteriorColor","EngineCylinders","Trim","SellingPrice","Miles","MPG(Miles per gallon)","FuelType","website Link for more details","Car Features","website Link for images"
"2013","USED","2021","Ram","1500","Bright White Clearcoat","Black","6","Big Horn 4x4 Crew Cab 5'7"" Box","42812","27089","22","Gasoline","https://www.pinebeltcjdr.com/","Heavy Toeing truck, Pickup truck","https://65e81151f52e248c552b-fe74cd567ea2f1228f846834bd67571e.ssl.cf1.rackcdn.com/ldm-images/2023-RAM-1500-Color-Ivory-White-Tri-Coat-Pearl-Coat.png"
"2013","NEW","2022","Ram","1500","Granite Crystal Metallic Clearcoat","Black","6","Big Horn 4x4 Crew Cab 5'7"" Box","51392","77","24","Gasoline","https://www.pinebeltcjdr.com/","Heavy Toeing truck, Pickup truck","https://www.chryslerdodgejeepramoffranklin.com/assets/stock/colormatched_01/transparent/1280/cc_2023rmt11_01_1280/cc_2023rmt110149_01_1280_pxj.png?height=400&bg-color=FFFFFF"
"2013","NEW","2022","Jeep","Grand Cherokee 4xe","Bright White Clearcoat","Global Black","4","Summit 4x4","72577","13","25","Hybrid","https://www.pinebeltcjdr.com/","Hybrid engine, fuel efficient, offroad and light toeing","https://cdn.carbuzz.com/gallery-images/1600/1018000/600/1018698.jpg"
"2013","NEW","2022","Chrysler","Pacifica","Bright White Clearcoat","Black","6","Hybrid Touring L FWD","46615","12","25","Hybrid","https://www.pinebeltcjdr.com/","Big family car, long distance travel","https://vehicle-images.dealerinspire.com/1fcd-110007452/2C4RC1BG9NR140687/f2d55a0afd6401f9170a0bd0dfe70e2d.jpg"
"2013","NEW","2022","Jeep","Grand Cherokee 4xe","Bright White Clearcoat","Global Black","4","4x4","62862","5","25","Hybrid","https://www.pinebeltcjdr.com/","Hybrid engine, fuel efficient, offroad and light toeing","https://cdn.carbuzz.com/gallery-images/1600/1018000/600/1018698.jpg"
"2013","NEW","2022","Ram","1500","Bright White Clearcoat","Black","6","Big Horn 4x4 Quad Cab 6'4"" Box","50902","10","24","Gasoline","https://www.pinebeltcjdr.com/","Heavy Toeing truck, Pickup truck","https://vehicle-images.dealerinspire.com/f94a-11002162/3C6RR7KG9PG663869/311712d4ccd6328c72dd37b56b4e37a5.jpg"
"2013","NEW","2022","Jeep","Grand Cherokee 4xe","Hydro Blue Pearlcoat","Global Black","4","Summit Reserve 4x4","77977","0","25","Hybrid","https://www.pinebeltcjdr.com/","Hybrid engine, fuel efficient, offroad and light toeing","https://vehicle-images.dealerinspire.com/3dfa-110008933/thumbnails/large/1C4RJYE62P8807583/f944587358a92be513a04a098304433a.jpg"
"2013","NEW","2022","Jeep","Grand Cherokee 4xe","Midnight Sky","Global Black","4","Summit Reserve 4x4","77977","97","25","Hybrid","https://www.pinebeltcjdr.com/","Hybrid engine, fuel efficient, offroad and light toeing","https://rayscarinfo.com/wp-content/uploads/2023/06/2023-jeep-grand-cherokee-4xe-midnight-sky-black-clear-coat-color.jpg"
"2013","NEW","2021","Ram","1500","Bright White Clearcoat","Black","6","Big Horn 4x4 Crew Cab 5'7"" Box","53930","5","22","Gasoline","https://www.pinebeltcjdr.com/","Heavy Toeing truck, Pickup truck","https://65e81151f52e248c552b-fe74cd567ea2f1228f846834bd67571e.ssl.cf1.rackcdn.com/ldm-images/2023-RAM-1500-Color-Ivory-White-Tri-Coat-Pearl-Coat.png"
"2013","NEW","2022","Chrysler","Pacifica","Bright White Clearcoat","Black/Alloy/Black","6","Touring L FWD","40245","4597","28","Gasoline","https://www.pinebeltcjdr.com/","Big family car, long distance travel","https://inv.assets.ansira.net/ChromeColorMatch/us/TRANSPARENT_cc_2022CRV090010_01_1280_PW7.png"
